sample_id,video_id,frame_idx,label,prediction,confidence,prob_fake
cdfv2_frames__id35_id31_0009_frame0072,frames/id35_id31_0009,72,1,1,0.8462,0.8462
cdfv2_frames__id28_id4_0000_frame0169,frames/id28_id4_0000,169,1,1,0.9193,0.9193
cdfv2_frames__id52_id58_0005_frame0119,frames/id52_id58_0005,119,1,1,0.7253,0.7253
cdfv2_frames__00254_frame0463,frames/00254,463,0,0,0.8764,0.1236
cdfv2_frames__id8_id5_0008_frame0000,frames/id8_id5_0008,0,1,1,0.9704,0.9704
cdfv2_frames__id10_id13_0004_frame0299,frames/id10_id13_0004,299,1,0,0.6021000000000001,0.3979
cdfv2_frames__00063_frame0092,frames/00063,92,0,1,0.6894,0.6894
cdfv2_frames__id35_id31_0007_frame0308,frames/id35_id31_0007,308,1,1,0.9669,0.9669
cdfv2_frames__id48_0000_frame0271,frames/id48_0000,271,0,0,0.5159,0.4841
cdfv2_frames__00284_frame0149,frames/00284,149,0,0,0.6348,0.3652
cdfv2_frames__id6_id3_0005_frame0275,frames/id6_id3_0005,275,1,1,0.7229,0.7229
cdfv2_frames__id50_id56_0005_frame0204,frames/id50_id56_0005,204,1,1,0.5558,0.5558
cdfv2_frames__id6_id1_0005_frame0275,frames/id6_id1_0005,275,1,1,0.8698,0.8698
cdfv2_frames__00266_frame0179,frames/00266,179,0,0,0.8987,0.1013
cdfv2_frames__id35_0000_frame0203,frames/id35_0000,203,0,0,0.6802,0.3198
cdfv2_frames__00253_frame0176,frames/00253,176,0,0,0.9048,0.0952
cdfv2_frames__id17_id6_0000_frame0049,frames/id17_id6_0000,49,1,1,0.8071,0.8071
cdfv2_frames__id27_id19_0001_frame0259,frames/id27_id19_0001,259,1,1,0.735,0.735
cdfv2_frames__id1_id2_0007_frame0052,frames/id1_id2_0007,52,1,1,0.9474,0.9474
cdfv2_frames__id28_id4_0000_frame0233,frames/id28_id4_0000,233,1,1,0.9347,0.9347
cdfv2_frames__00194_frame0446,frames/00194,446,0,0,0.908,0.092
cdfv2_frames__id7_id11_0009_frame0103,frames/id7_id11_0009,103,1,1,0.8143,0.8143
cdfv2_frames__id1_id2_0007_frame0137,frames/id1_id2_0007,137,1,1,0.9679,0.9679
cdfv2_frames__id3_id28_0001_frame0305,frames/id3_id28_0001,305,1,1,0.6166,0.6166
cdfv2_frames__id9_id16_0007_frame0058,frames/id9_id16_0007,58,1,1,0.9685,0.9685
cdfv2_frames__00208_frame0132,frames/00208,132,0,1,0.554,0.554
cdfv2_frames__id3_id9_0003_frame0119,frames/id3_id9_0003,119,1,0,0.8638,0.1362
cdfv2_frames__id21_id9_0008_frame0321,frames/id21_id9_0008,321,1,1,0.9001,0.9001
cdfv2_frames__id7_id11_0007_frame0000,frames/id7_id11_0007,0,1,0,0.5585,0.4415
