predicate,category,mean_real,mean_fake,std_real,std_fake,gap,auc,n_real,n_fake,sanity
cr_happy_au6,expr-au,0.165528,0.123681,0.296983,0.256677,0.041848,0.552739,2304,9215,ok
cr_happy_au12,expr-au,0.172805,0.140531,0.260213,0.229054,0.032274,0.537350,2304,9215,ok
cr_surprise_au1au2,expr-au,0.237250,0.207267,0.199983,0.164670,0.029983,0.523749,2304,9215,ok
cr_sad_au15,expr-au,0.154359,0.175006,0.211070,0.231632,0.020647,0.521148,2304,9215,ok
cr_angry_au4,expr-au,0.143523,0.139982,0.173464,0.157560,0.003541,0.516867,2304,9215,ok
cr_fear_au1au5,expr-au,0.187668,0.169733,0.153840,0.143529,0.017935,0.530521,2304,9215,ok
cr_disgust_au9,expr-au,0.033035,0.030154,0.042842,0.037420,0.002882,0.509388,2304,9215,ok
cr_contempt_au14,expr-au,0.231771,0.237656,0.421963,0.425647,0.005885,0.502943,2304,9215,ok
cr_neutral_any_au,expr-au,0.160866,0.161523,0.184484,0.166199,0.000656,0.523524,2304,9215,ok
cr_gaze_lr_divergence,pose-gaze,0.037744,0.039087,0.022154,0.022644,0.001343,0.516633,2304,9215,ok
cr_eye_asymmetry,symmetry,0.117608,0.111910,0.156112,0.162214,0.005698,0.528157,2304,9215,ok
cr_jaw_asymmetry,symmetry,0.079913,0.068375,0.075612,0.065489,0.011539,0.537889,2304,9215,ok
cr_yaw_gaze_misalign,pose-gaze,0.037809,0.035164,0.031068,0.028035,0.002645,0.519018,2304,9215,ok
cr_pose_facewidth,geometry,0.121352,0.130396,0.049555,0.054798,0.009044,0.555919,2304,9215,ok
cr_lip_geometry_au12,expr-au,0.122644,0.115170,0.095675,0.091303,0.007474,0.521102,2304,9215,ok
cr_brow_eye_couple,expr-au,0.205220,0.161006,0.175650,0.144282,0.044214,0.568277,2304,9215,ok
cr_sad_au4,expr-au,0.194704,0.202594,0.218991,0.225543,0.007891,0.513702,2304,9215,ok
cr_angry_au7,expr-au,0.476682,0.535861,0.462245,0.465292,0.059179,0.536503,2304,9215,ok
cr_disgust_au17,expr-au,0.035444,0.031577,0.043994,0.044673,0.003867,0.546136,2304,9215,ok
cr_surprise_au2,expr-au,0.175123,0.141080,0.204000,0.162382,0.034043,0.513548,2304,9215,ok
cr_sad_au1,expr-au,0.291000,0.260699,0.218992,0.203908,0.030302,0.536403,2304,9215,ok
cr_pitch_gaze_y,pose-gaze,0.053071,0.048517,0.043384,0.038030,0.004554,0.522090,2304,9215,ok
cr_roll_eye_sym,pose-gaze,0.108477,0.103272,0.154788,0.160728,0.005205,0.526670,2304,9215,ok
cr_ipd_facewidth,geometry,0.018950,0.020153,0.022546,0.023334,0.001203,0.533253,2304,9215,ok
cr_jaw_cheekbone,geometry,0.127978,0.139765,0.039178,0.043064,0.011787,0.587449,2304,9215,ok
cr_mouth_symmetry,symmetry,0.006646,0.005763,0.005500,0.005101,0.000883,0.550072,2304,9215,ok
cr_duchenne_smile,au-pair,0.014362,0.008874,0.049304,0.035474,0.005488,0.552051,2304,9215,ok
cr_genuine_surprise,au-pair,0.006848,0.003110,0.045951,0.022739,0.003738,0.545622,2304,9215,ok
